Year,Month,Day,Weekday,MYRUSD,SGDUSD,THBUSD,USDIDR
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
2024,10,1,1,3379.195,3379.195,430.08084,14725.526
