Bahan_pangan,Daerah,Harga_lag_1,Harga_lag_7,Harga_lag_30,Google_trends,Harga,MYRUSD,THBUSD,USDIDR,SGDIDR,Year,Month,Day,Weekday
0,0,28960,27700,26390,36,31222,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,1,24230,24240,21250,41,27289,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,2,27940,25910,25520,30,30290,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,3,27390,26960,23840,35,29759,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,4,24450,22240,19600,35,27621,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,5,30370,29880,29400,39,32756,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,6,32730,32760,25300,36,35468,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,7,25900,24270,20570,37,28585,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,8,25530,24460,23900,44,27940,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,9,24180,23340,22490,47,27372,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,10,22300,22030,19600,47,26884,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,11,30430,30460,28670,47,32942,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,12,25270,25420,22990,45,27814,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,13,29380,28870,26310,37,31394,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,14,32540,33110,29520,43,35524,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,15,36100,36180,33190,37,30574,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,16,29920,29030,27160,37,32153,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,17,36130,34830,34580,37,30753,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,18,24190,22960,21490,37,27411,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,20,45830,47410,47340,38,38693,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,19,35820,36120,35880,39,35689,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,21,19300,20410,18770,38,26109,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,22,20230,19990,21710,38,25944,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,24,49960,50360,54370,38,39534,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,23,47610,48520,48360,38,39160,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,25,28760,28290,24170,38,31058,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,26,26240,30510,22310,39,28700,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,27,26350,26910,21580,38,28573,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,28,33820,33640,26790,41,36055,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,29,30260,30420,27780,40,32710,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,30,34350,35870,31230,38,36347,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,31,27630,26180,20010,39,30039,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,32,26100,25000,22230,38,28496,3379.0,430.0,14726.0,3379.0,2024,10,1,1
0,33,27150,25560,25250,38,29484,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,0,39110,39340,39280,36,30598,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,1,35530,35700,35530,37,36020,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,2,39250,38970,38660,43,28294,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,3,39100,39490,38680,35,29963,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,4,36090,36170,34670,38,30358,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,5,40520,40520,40520,37,32294,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,6,44480,45320,44510,37,37249,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,7,37430,37470,36800,37,30624,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,8,38400,38350,38670,57,29577,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,9,35630,35930,35880,50,35835,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,10,34950,34940,35080,50,35867,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,11,38360,38330,37030,56,29387,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,12,37920,38190,38110,41,30577,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,13,40070,39830,39290,38,30005,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,14,42100,41870,41170,39,33738,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,15,42820,43160,42360,38,36173,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,16,39730,40350,39250,38,30159,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,17,34720,34030,34710,38,36033,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,18,37180,36890,37290,37,30469,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,20,51750,52350,55700,38,40991,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,19,44070,45010,45860,38,36162,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,21,38250,38130,38540,38,30957,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,22,40540,40900,40610,38,32400,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,24,50850,51440,53350,39,39749,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,23,51350,51560,50400,39,40633,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,25,38290,38030,38210,38,30635,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,26,40510,40520,41920,39,31502,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,27,40500,40430,39410,38,29457,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,28,44640,45410,45250,40,37450,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,29,46480,45890,42810,40,38592,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,30,44580,45530,45630,38,37569,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,31,37300,38870,38700,39,30569,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,32,37540,37130,36850,38,30671,3379.0,430.0,14726.0,3379.0,2024,10,1,1
1,33,38340,38030,38330,38,30676,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,0,13470,13520,13530,36,12312,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,1,14080,14040,14030,37,12747,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,2,12800,12770,12700,29,11402,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,3,13900,13910,13900,35,12545,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,4,13010,13010,12790,37,11788,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,5,13420,13510,13850,34,12374,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,6,13530,13440,13620,36,12392,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,7,13190,13120,13120,36,12058,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,8,12890,12920,12940,33,11569,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,9,13150,13140,13120,40,11975,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,10,12620,12580,12540,40,11457,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,11,14520,14550,14750,43,13311,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,12,12900,13060,13060,45,11766,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,13,14070,14060,14090,38,12919,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,14,15750,15690,15530,32,14449,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,15,15500,15500,15430,40,14128,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,16,13910,13910,13770,40,12698,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,17,13890,14000,14030,40,12672,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,18,13170,13140,13080,38,12081,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,20,15530,15680,15840,39,14700,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,19,14650,14770,14520,44,13483,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,21,12950,12950,12750,38,11774,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,22,13460,13560,13450,37,12476,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,24,15570,15710,16230,38,14252,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,23,15510,15510,15510,36,14204,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,25,13930,13940,13810,38,12772,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,26,13200,13060,12960,44,12039,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,27,12530,12570,12600,37,11475,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,28,13440,13460,13470,40,12582,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,29,13070,13000,13010,41,11853,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,30,13730,13790,13770,39,12453,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,31,15280,15350,15210,43,14015,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,32,12570,12540,12500,41,11452,3379.0,430.0,14726.0,3379.0,2024,10,1,1
2,33,13950,13940,14150,41,12796,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,0,14660,14700,14720,37,13493,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,1,15530,15490,15610,38,14211,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,2,15000,14770,14870,31,13729,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,3,15480,15520,15600,36,14142,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,4,14400,14380,14360,38,13113,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,5,15560,15560,15770,35,14263,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,6,15320,15240,15410,38,14026,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,7,15190,14990,15030,37,13883,3379.0,430.0,14726.0,3379.0,2024,10,1,1
3,8,14820,14830,14890,34,13630,3379.0,430.0,14726.0,3379.0,2024,10,1,1
